"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","W jakiej branży pracujesz?","Jakie stanowisko zajmujesz?","Gdzie mieszkasz?","Czy mieszkasz w Polsce, czy za granicą?","Jak korzystasz z „Więzi”? ","Czy jesteś Prenumeratorką/Prenumeratorem „Więzi”?","Co by Cię zachęciło do prenumeraty? ","Z jakiego rodzaju prenumeraty korzystasz?","Jeśli prenumerujesz „Więź”, szczególnie wspierasz naszą działalność. Co Cię do tego skłania?","Od jak dawna sięgasz po kwartalnik „Więź”?","Jak często odwiedzasz Więź.pl?","Należysz do grona Patronów i Darczyńców „Więzi”? Jeśli tak, napisz w kilku słowach, dlaczego wspierasz naszą działalność.","Skąd dowiedziałaś/dowiedziałeś się o „Więzi” – piśmie lub portalu?","Sięgasz po nasz kwartalnik lub czytasz nasz portal, bo „Więź”… (wybierz 1-3 odpowiedzi)","Co najchętniej czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czego nie czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czy czytasz treści dostępne tylko na Więź.pl (niepochodzące z kwartalnika)?","Dlaczego? ","Jaką kategorię treści najczęściej czytasz na Więź.pl?","Które z tematów obecnych na Więź.pl są dla Ciebie samej/samego najważniejsze (wybierz 1-5 odpowiedzi)?","Jakiego rodzaju tekstów (gatunki dziennikarskie) chcesz czytać więcej na Więź.pl (wybierz 1-3 odpowiedzi)? ","Na jakie tematy według Ciebie piszemy na Więź.pl za mało (wybierz 1-3 odpowiedzi)?","Jakich treści brakuje Ci na Więź.pl? ","W których mediach społecznościowych obserwujesz „Więź”?","Na których platformach Twoim zdaniem brakuje „Więzi""?","Zaznacz w skali od 1 do 10, gdzie 0 oznacza decydowanie nie, a 10 zdecydowanie tak.","Czy słuchasz regularnie podcastów?","Jakich podcastów słuchasz regularnie?","Czy subskrybujesz kanały na YouTube?","Jeśli tak, jakie to kanały?","Jakie są Twoje ulubione profile, które obserwujesz na Facebooku?","Jeśli masz jakieś sugestie lub uwagi, to prosimy podziel się nimi tutaj."
"2021/12/23 10:54:17 AM CET","Kobieta","26-35","Wyższe","Kultura i sztuka","Młodszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Kulturalny temat numeru","Felieton Jakuba Wygnańskiego;Felieton Michała Zioły;W galerii „Więzi”","Tak","","Wiara","Biskupi;Film;Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka religijna;Wiadomości kulturalne;Wiadomości z Kościoła","Etyka;Inne religie;Teologia","","Facebook;Instagram","Podcasty?","10","Tak","Historie potłuczone, Znak na głos, Raport o stanie świata","Tak","Dominikanie pl, Langusta na palmie, kulinarne i kulturalne","Maciej Biskup OP :) i wiele innych ","Dziękuję za to,co robicie i oby tak dalej."
"2021/12/23 1:42:38 PM CET","Mężczyzna","36-50","Wyższe","Szkolnictwo wyższe i badania naukowe","Menadżer/ka/kierownik/czka","Miasto od 50 tys. do 150 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Tak","Zachęca mnie fakt, iż na łamach więzi mogę znaleźć prawdziwe dyskusje o kościele, wierze, problemach społecznych itp.","Rocznej prenumeraty druk + cyfra","Potrafię znaleźć tu wyważone treści które poruszają nurtujące mnie, bieżące sprawy katolicyzmu i zachowań społecznych","Od roku","Kilka razy w miesiącu","","Znalazłem artykuł na Wiez.pl o komunii na rękę, gdy szukałem rzetelnej opinii na ten temat","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Recenzje książek","Czytam od deski do deski","Nie","","Wiadomości","Aborcja;Antysemityzm;Ewangelia;Kryzys Kościoła;Wiara;Żydzi","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna","Kościół;Kultura;Społeczeństwo","","Na żadnym z wymienionych","","10","Nie","","Nie","","Turystyczne",""
"2021/12/23 3:52:15 PM CET","Mężczyzna","51-65","Wyższe","Ksiądz","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak i wspieram „Więź” poprzez Patronite","","Rocznej sponsorskiej prenumeraty cyfrowej","Unikalność na rynku Polskim. Głębia tematów.","Od 30-50 lat","Kilka razy w tygodniu","Identyfikuję się z większość treści. Jesteście bardzo potrzebnie w Polsce. Oświaty kaganek.","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”;Jest tytułem, z którym jestem związana/związany od lat;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział „Otwarta ortodoksja”","Felieton „Ksiądz z kobietą w kinie”;W galerii „Więzi”","Nie","","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Papież Franciszek;Żydzi","Publicystyka religijna;Wiadomości z Kościoła","Filozofia","","Na żadnym z wymienionych","","10","Nie","","Tak","głównie religijne","",""
"2021/12/23 4:17:16 PM CET","Mężczyzna","36-50","Wyższe","Edukacja","Właściciel/ka","Wieś","W Polsce","Czytam papierowe wydanie kwartalnika","Tak","","Rocznej prenumeraty druk + cyfra","Czasami ciekawe teksty, ale ostatnio jest ich coraz mniej i dlatego poważnie zastanawiam się nad kontynuacją prenumeraty. Uwikłanie w kwestie polityczne, i to wyraźne sprzyjanie jednej stronie sporu politycznego, razi coraz bardziej. ","Od 10-30 lat","Kilka razy w tygodniu","","nie pamiętam","sięgam coraz mniej ze względu na coraz mniejszą wiarygodność.","Religijny temat numeru","Społeczny temat numeru","Nie","","Wiara","Dialog;Ewangelia;Wiara","","","","","","2","Nie","","Tak","religijno-społeczne","religijno-społeczne","Więcej obiektywizmu."
"2021/12/23 4:18:29 PM CET","Mężczyzna","Do 25","Wyższe","IT","Młodszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Tak","","Rocznej prenumeraty druk + cyfra","Więź czytam zarówno ja jak i Dziadek, jaki bardzo niecierpliwi się na kolejne numery, dlatego mam prenumeratę. Poza tym treści są interesujące, wiec można kupować w ciemno.","Od około 2 lat","Kilka razy w miesiącu","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dział „Z drugiej strony Bugu”;Dział Historia;Felieton Jakuba Wygnańskiego;Dział „Dzieci Abrahama”","Religijny temat numeru;Kulturalny temat numeru;Dział „Otwarta ortodoksja”","Tak","","Społeczeństwo","Demokracja;Polityka;Unia Europejska","Publicystka historyczna;Publicystyka społeczno-polityczna;Publicystyka zagraniczna","Gospodarka;Polityka;Społeczeństwo;Technologie","Zdecydowanie kwestii związanych z gospodarką i technologią","Facebook;Spotify","Na spotify wydawało mi się, że profil jest bardzo mało aktywny, a jako, że lubię podcasty brakuje mi tego.","9","Tak","Polityka Insight, Rzeczpospolita, podkast amerykański.","Tak","Polityka zagraniczna, klub Jagielloński, Marcin Strzyżewski, TLDR News ","Więź, tok FM, wyborcza ",""
"2021/12/24 9:27:41 AM CET","Mężczyzna","36-50","Wyższe","Administracja, księgowość i kadry","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale regularnie kupuje „Więź”","","","","","","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Opisuje świat z perspektywy chrześcijańskiej","Religijny temat numeru;Kulturalny temat numeru;Dział „Otwarta ortodoksja”;Dział „Dziedziniec dialogu”;Dyskusje redakcyjne;Felieton Michała Zioły;Recenzje książek;Felieton Jerzego Sosnowskiego","Dział Historia","Tak","Ponieważ odnoszą się do bieżących wydarzeń","Kultura","Ewangelia;Kryzys Kościoła;Kultura;Literatura;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka kulturalna;Felieton;Reportaż;Wywiad","Duchowość;Filozofia","","Na żadnym z wymienionych","","9","Nie","","Nie","","",""
"2021/12/25 12:24:14 PM CET","Mężczyzna","Do 25","Wyższe","Media","Starszy/a specjalista/ka","Miasto od 150 tys. do 500 tys.","Za granicą","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Brak obiektywizmu","","","","","","Znam ja z czasow komuny.","Probue opisywac swiat zu perspektywy chrzescijanskiej.","Społeczny temat numeru;Religijny temat numeru;Dział Historia","Nie zgadzam sie z Czerwona Kreska","Tak","","Wiadomości","Aborcja;Biskupi;Demokracja;Kryzys Kościoła;LGBT;Migracje, uchodźcy;Papież Franciszek;Pedofilia w Kościele","Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Wiadomości z kraju","Duchowość;Edukacja;Etyka","Obiektywnych","Na żadnym z wymienionych","nie brakuje mi","1","Tak","","Nie","","","Za malo Prawdy, "
"2021/12/25 2:30:37 PM CET","Kobieta","Ponad 65","Średnie","emerytka","Starszy/a specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Dział „Czytanie świata”","Edytorial","Tak","","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek","Publicystyka religijna;Publicystyka społeczno-polityczna;Wywiad","Gospodarka;Sport;Technologie","","Facebook","","10","Nie","","Nie","","",""
"2021/12/25 5:59:53 PM CET","Mężczyzna","36-50","Wyższe","Edukacja","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Felieton Jerzego Sosnowskiego","Dział „Czytanie świata”;W galerii „Więzi”;Edytorial","Nie","","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Wiara","Felieton;Co słychać w innych niż RKK kościołach chrześcijańskich","Inne religie","","Na żadnym z wymienionych","","8","Nie","","Nie","","",""
"2021/12/25 10:02:38 PM CET","Kobieta","51-65","Wyższe","Media","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","Prenumerowałam, ale nie potrzebuję dwu egzemplarzy...","","","","","Uważam, że istnienie Więzi - pisma i środowiska,  które wokół niego się skupia - jest ważne dla istnienia chrześcijaństwa w Polsce. Z wielu powodów. I dla całego społeczeństwa. ","Od bliskich/przyjaciół","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Felieton Jerzego Sosnowskiego","Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”","Tak","","Wiara","Dialog;Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Pedofilia w Kościele;Wiara","","Inne religie","","Facebook","","9","Nie","","Tak","","",""
"2021/12/26 10:33:29 PM CET","Mężczyzna","51-65","Wyższe","Edukacja","Właściciel/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Miesięcznik","","","","","","dawno temu z prasy","To „moje pismo” / „mój portal”","Religijny temat numeru;Dział „Otwarta ortodoksja”;Dział „Dzieci Abrahama”;Dyskusje redakcyjne","Społeczny temat numeru;Kulturalny temat numeru;Dział „Z drugiej strony Bugu”;Felieton Jakuba Wygnańskiego;Felieton Michała Zioły","Tak","","Wiara","Ewangelia;Wiara","Publicystka historyczna;Publicystyka religijna;Wiadomości z Kościoła","Duchowość;Inne religie;Teologia","","Facebook","","5","Nie","","Nie","","",""
"2021/12/27 7:01:21 AM CET","Kobieta","36-50","Wyższe","Handel","Specjalista/ka","Miasto powyżej 500 tys.","Za granicą","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne","Dział „Z drugiej strony Bugu”","Nie","","Wiara","Ewangelia;Kryzys Kościoła;Książka;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Felieton","Duchowość","","Facebook","","9","Nie","","Nie","","",""
"2021/12/27 8:18:03 PM CET","Mężczyzna","Ponad 65","Średnie","Produkcja","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Niższa cena","","","","","","Znam od dawna","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Kulturalny temat numeru;Dział „Z drugiej strony Bugu”;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Tak","","Kultura","Film;Kryzys Kościoła;Kultura;Książka","Publicystka historyczna;Publicystyka religijna;Publicystyka zagraniczna","Etyka;Filozofia;Teologia","","Facebook","","8","Nie","","Nie","","Geopolityka, Zdrowe Ryby, Nie czytasz? Nie idę z tobą do łóżka. ",""
"2021/12/28 1:12:22 PM CET","Mężczyzna","36-50","Wyższe","Kultura i sztuka","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Wiem o piśmie od lat 90. XX w.","Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział Historia","Dział „Czytanie świata”;Felieton Michała Zioły;Felieton Jerzego Sosnowskiego","Tak","","Wiara","Historia;Kryzys Kościoła;Kultura;Pedofilia w Kościele;Polityka;Wiara","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna","Duchowość;Filozofia;Inne religie","","YouTube","","7","Nie","","Tak","","",""
"2021/12/28 2:14:56 PM CET","Kobieta","26-35","Wyższe","Media","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dział Historia","Edytorial","Tak","","Wiara","Demokracja;Historia;Jan Paweł II;Kryzys Kościoła;Poezja","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka zagraniczna;Wiadomości z Kościoła;Reportaż;Wywiad;Reportaż byłby super!","Filozofia;Literatura","","Facebook","","9","Nie","","Nie","","Historyczne, polityczne/społeczne, religijne",""
"2021/12/28 2:23:25 PM CET","Mężczyzna","Ponad 65","Wyższe","Budownictwo","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak i wspieram „Więź” poprzez darowizny","","Rocznej prenumeraty druk + cyfra","rzetelne informacje i analizy, otwartość na inne punkty widzenia","Od 30-50 lat","Kilka razy w tygodniu","uważam, że byłoby niepowetowaną stratą, gdyby ""Wieź"" nie mogła istnieć","wiele lat temu kupiłem przypadkowo ""Więź""  w kiosku, podczas przerwy w podróży kolejowej","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Jest tytułem, z którym jestem związana/związany od lat","Społeczny temat numeru;Religijny temat numeru;Felieton Jerzego Sosnowskiego","Czytam od deski do deski","Nie","","Wiara","Antysemityzm;Biskupi;Dialog;Kryzys Kościoła","Publicystyka religijna;Publicystyka społeczno-polityczna","Edukacja;Inne religie","","Facebook","","10","Nie","","Nie","","",""
"2021/12/28 11:00:37 PM CET","Kobieta","51-65","Wyższe","Przedsiebiorstwo Społeczne","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","jeszcze nie wiem, przeczytałam pierwsze artykuły nt Wujców i póki co, podobają mi się","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","trafiłam na niego przypadkiem, nie jestem osobą wierzącą ","nie czytałam na razie nic poza art o Wujcach","jeszcze nie wiem co polubie i czy polubię - musiałabym wiecej przeczytac","Tak","bo po raz pierwszy coś przeczytałam wchodząc przez FB na art o rodzinie Wyjców - znam ich, wiec zaciekawił mnie artykuł ","Historia","Demokracja;Dialog;Historia;Kultura;Unia Europejska","Publicystka historyczna;Publicystyka społeczno-polityczna;Wywiad","nie potrafie okreslić, bo nie znam pisma","nie potrafie okreslić, bo nie znam pisma","Facebook","nie potrafie okreslić, bo nie znam pisma","5","Nie","","Tak","muzyczne, polityczne, społeczne","bardzo różne ",""
"2021/12/29 9:58:37 PM CET","Kobieta","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru","Czytam od deski do deski","Tak","","Wiara","Dialog;Ewangelia;Papież Franciszek;Polityka;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Literatura;Wiara","","Na żadnym z wymienionych","","9","Nie","","Tak","","",""
"2021/12/30 5:13:56 PM CET","Mężczyzna","51-65","Wyższe","Administracja, księgowość i kadry","Właściciel/ka","Miasto od 50 tys. do 150 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Łatwa subskrypcja ","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Religijny temat numeru","Społeczny temat numeru;Felieton Jakuba Wygnańskiego;Recenzje książek","Tak","Nie wiem ","Wiara","Ewangelia;Kryzys Kościoła;Wiara","Publicystyka religijna;Wiadomości z Kościoła;Wywiad","Duchowość;Etyka;Wiara","Biblia","Facebook","Nie wiem ","10","Nie","","Nie","","",""
"2021/12/30 5:14:36 PM CET","Mężczyzna","51-65","Wyższe","Transport","Menadżer/ka/kierownik/czka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty druk + cyfra","Rzetelność artykułów i podejmowane tematy","Od roku","Kilka razy w tygodniu","","Z innych pism","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne;Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”;Felieton Jerzego Sosnowskiego;Edytorial","Czytam od deski do deski","Tak","","Wiara","Ewangelia;Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Felieton","Duchowość;Inne religie;Teologia","","Facebook","","10","Nie","","Tak","","",""
"2021/12/30 5:25:19 PM CET","Kobieta","26-35","Wyższe","Produkcja","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty druk + cyfra","Ciekawe tematy, obiektywizm, obszerne artykuły, brak cenzury","Od około 2 lat","Kilka razy w tygodniu","","Czytając inny artykuł natknęłam się na cytat z ""Więzi"", który mnie zainteresował i postanowiłam przeczytać całość.","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele;Nie stroni od niewygodnych tematów, nie ""wybiela"" i nie cenzuruje","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne","Staram się skupić na temacie a nie kategorii. Nie wykluczam.","Tak","Publikacje wychodzą na bieżąco.","Wiara","Dialog;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystyka religijna;Wiadomości z Kościoła;Wywiad","Inne religie;Ekumenizm","Informacje o ciekawych wydarzeniach religijnych, w których mogłabym wziąć udział, np. Rekolekcje dla małżeństw mieszanych, ekumeniczne drogi krzyżowe itp.","Na żadnym z wymienionych","","9","Nie","","Tak","Langusta na palmie, maskacjusz, dominikanie.pl","","Od czasu do czasu możnaby oddać głos czytelnikowi. Zaproponować temat i opublikować najciekawszy tekst czytelnika w ramach nagrody."
"2021/12/30 6:16:30 PM CET","Mężczyzna","36-50","Wyższe","Administracja, księgowość i kadry","Dyrektor/ka","Miasto powyżej 500 tys.","Za granicą","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi)","Tak i wspieram „Więź” poprzez Patronite","","Rocznej prenumeraty cyfrowej","Podejście Więzi do katolicyzmu. Moim zdaniem właściwe i mi bliskie.","Od 3-5 lat","Kilka razy w tygodniu","Warto wspierać głos otwartego na świat katolicyzmu bo jest on potrzebny Kościołowi, światu i mi osobiście :)","Spotkania Instytutu Tertio Milennio","Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Dział Historia;Dyskusje redakcyjne","Felieton Michała Zioły","Nie","","Wiara","Biskupi;Historia;Kryzys Kościoła;Papież Franciszek;Wiara","Publicystyka religijna;Publicystyka zagraniczna;Wiadomości z Kościoła","Duchowość;Filozofia;Inne religie","Dot. Kościoła/chrześcijaństwa w innych niż Polska częściach świata.","Facebook","","9","Nie","","Nie","","",""
"2021/12/30 6:20:31 PM CET","Kobieta","36-50","Wyższe","Edukacja","Właściciel/ka","Wieś","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","Poruszacie ciekawe tematy, od których stronią inne czasopisma; artykuły zazwyczaj szeroko a nie ogólnikowo omawiają temat.","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Dział Historia","Czytam od deski do deski","Tak","","Społeczeństwo","Historia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wywiad","Duchowość;Wiara","","Facebook","","8","Tak","","Tak","","",""
"2021/12/30 8:11:44 PM CET","Kobieta","51-65","Wyższe","Farmacja","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","Nie wiem, nie odczuwam potrzeby zaprenumerowania Więzi ","","","","","Moim zdaniem istotne jest, żeby środowisko reprezentujące katolicką elitę intelektualną i kościół otwarty dysponowało własnym medium","Punkt 1, ale z przyczyn technicznych nie mogłam go zaznaczyć. ""Więź"" była obecna w moim domu rodzinnym, więc od młodości miałam kontakt z tym pismem","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Felieton Jakuba Wygnańskiego;Dyskusje redakcyjne;Felieton Jerzego Sosnowskiego","Dział „Otwarta ortodoksja”","Nie","Odpowiedź brzmi TAK, ale nie mogłam jej zaznaczyć. Czytam to co mnie zainteresuje niezależnie od źródła ","Społeczeństwo","Demokracja;Kryzys Kościoła;Migracje, uchodźcy;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wywiad","Inne religie;Technologie","Młodzi w Kościele","Facebook","Rzadko korzystam z innych platform","9","Nie","Dariusza Bugalskiego , Wolne Sądy, ","Nie","","RNŚ, Więź, TP, Iustitia, Wolne Sądy, Strategie2050 ",""
"2021/12/30 8:16:43 PM CET","Kobieta","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty druk + cyfra","Odwaga i kompetencja artykułów.","Od około 2 lat","Rzadko, nieregularnie","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru","Dział „Z drugiej strony Bugu”;W galerii „Więzi”;Edytorial","Tak","Są łatwo dostępne.","Wiara","Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara;Żydzi","Publicystyka religijna;Wiadomości z Kościoła","Duchowość;Inne religie","","Facebook","","8","Nie","","Nie","","","Dziękuję za Waszą pracę. I za odwagę w artykułach. "
"2021/12/30 8:31:33 PM CET","Mężczyzna","Do 25","Wyższe","Jeszcze się uczę/studiuję","Specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Czytam od deski do deski","Tak","","Historia","Kultura;Literatura;Sztuka","Publicystka historyczna;Publicystyka kulturalna;Wiadomości kulturalne","Filozofia","","Facebook","","10","Nie","","Tak","","",""
"2021/12/30 11:21:11 PM CET","Mężczyzna","36-50","Wyższe","Kultura i sztuka","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Nie zastanawiałem się nad tym. ","","","","","","Lata temu. Nie potrafię już przypomnieć sobie okoliczności. ","Publikuje pogłębione i przystępne teksty;Z ciekawości. ","Religijny temat numeru;Kulturalny temat numeru;Dział Historia","Społeczny temat numeru;Edytorial","Tak","Mam najłatwiejszy dostęp. ","Wiara","Biskupi;Film;Kryzys Kościoła;Kultura;Książka","Publicystka historyczna;Publicystyka religijna;Reportaż","Inne religie;Literatura;Sztuka","Prosiłbym o uaktualnianie wiadomości. ","Facebook","Nie znam odpowiedzi na to pytanie. ","8","Nie","Nie słucham. ","Nie","Nie subskrybuję. ","Sztuka królewska. ","Dziękuję. To wszystko. "
